HOLEID,TCU
17502077,0.109
17502078,0.167
17502079,0.128
17502080,0.102
17502081,0.174
17502082,0.154
17502088,0.209
17502089,0.187
17502090,0.189
17502091,0.203
17502092,0.239
17502093,0.21
17502094,0.217
17506803,0.169
17506804,0.302
17506805,0.23
17506806,0.223
17506807,0.256
17506808,0.178
17506809,0.179
17506810,0.184
17506811,0.2
17506812,0.214
17506813,0.207
17506814,0.225
17506815,0.165
17506816,0.106
17506817,0.182
17506818,0.185
17506819,0.22
17506820,0.161
17506821,0.308
17506822,0.273
17506823,0.196
17506824,0.185
17506825,0.211
17506826,0.168
17506833,0.137
17506834,0.138
17506835,0.153
17506836,0.201
17506837,0.137
17506838,0.127
17506839,0.175
17506840,0.159
17506841,0.218
17506855,0.144
17506856,0.105
17506857,0.1
17506858,0.221
17506859,0.114
17506860,0.136
17506861,0.182
17506862,0.11
17502130,0.194
17502131,0.131
17502132,0.05
17502133,0.21
17502134,0.22
17502135,0.216
17502136,0.253
17502137,0.085
17502138,0.14
17502139,0.118
17502150,0.093
17502151,0.148
17502152,0.139
17502153,0.233
17502154,0.221
17502155,0.162
17502156,0.2
17502157,0.035
17502158,0.039
17502159,0.044
17502172,0.069
17502173,0.056
17502174,0.03
17502175,0.063
17502176,0.064
17502177,0.043
17502178,0.033
17502179,0.099
17502180,0.082
17502181,0.129
17502194,0.12
17502195,0.071
17506827,0.172
17506828,0.26
17506829,0.304
17506830,0.228
17506831,0.208
17506832,0.291
17506842,0.139
17506851,0.125
17506852,0.159
17506853,0.218
17506854,0.12
17506863,0.148
17506864,0.153
17506865,0.1
17506866,0.139
17502147,0.116
17502148,0.19
17502160,0.048
17502161,0.047
17502162,0.142
17502163,0.148
17502164,0.17
17502165,0.144
17502166,0.124
17502167,0.141
17502168,0.156
17502169,0.058
17502170,0.039
17502171,0.065
17502182,0.113
17502183,0.07
17502184,0.035
17502185,0.052
17502186,0.141
17502187,0.083
17502188,0.139
17502189,0.096
17502190,0.051
17502191,0.038
17502192,0.103
17502193,0.131
17502204,0.096
17502205,0.117
17502206,0.107
17502207,0.056
17502208,0.053
17502209,0.166
17502210,0.055
17502211,0.048
17502212,0.109
17502213,0.077
17502214,0.092
17502215,0.161
17502121,0.199
17502122,0.208
17502123,0.204
17502125,0.192
17502126,0.193
17502127,0.158
17502128,0.211
17502129,0.415
17502140,0.32
17502141,0.085
17502142,0.227
17502143,0.25
17502144,0.13
17502145,0.119
17502146,0.174
17502149,0.146
17502196,0.098
17502197,0.096
17502198,0.147
17502199,0.206
17502200,0.139
17502201,0.124
17502202,0.133
17502203,0.185
17502216,0.107
17502217,0.149
17502218,0.165
17502219,0.169
17502220,0.137
17502253,0.259
17502254,0.189
17502255,0.252
17502256,0.181
17502263,0.127
17502264,0.211
17502265,0.292
17502266,0.186
17502267,0.191
17502274,0.244
17502275,0.211
17502276,0.233
17502277,0.27
17502278,0.308
17502295,0.292
17502296,0.204
17502297,0.17
17502298,0.201
17502299,0.149
17502306,0.214
17502307,0.241
17502308,0.339
17502309,0.224
17502310,0.225
17502326,0.264
17502327,0.261
17502328,0.15
17502329,0.206
17502330,0.198
17502337,0.193
17502338,0.227
17502339,0.263
17502340,0.225
17502341,0.302
17502248,0.282
17502249,0.255
17502250,0.249
17502251,0.172
17502252,0.152
17502259,0.313
17502260,0.316
17502261,0.274
17502262,0.206
17502268,0.175
17502269,0.167
17502270,0.158
17502271,0.103
17502272,0.09
17502273,0.105
17502279,0.123
17502280,0.289
17502281,0.25
17502282,0.289
17502283,0.295
17502284,0.313
17502287,0.362
17502288,0.318
17502289,0.351
17502290,0.415
17502291,0.286
17502292,0.29
17502293,0.08
17502294,0.295
17502300,0.16
17502301,0.136
17502302,0.119
17502303,0.123
17502304,0.131
17502305,0.153
17502311,0.272
17502312,0.305
17502313,0.068
17502314,0.306
17502315,0.323
17502316,0.267
17502317,0.192
17502318,0.115
17502319,0.118
17502320,0.1
17502321,0.234
17502322,0.1
17502323,0.311
17502324,0.293
17502325,0.282
17502331,0.183
17502332,0.159
17502333,0.169
17502334,0.299
17502335,0.168
17502336,0.19
17502342,0.39
17502343,0.249
17502344,0.342
17502345,0.282
17502346,0.207
17502347,0.144
17502348,0.131
17503238,0.0
17503223,0.0
17503224,0.0
17503225,0.0
17503226,0.0
17503227,0.0
17503230,0.0
17506892,0.217
